LA,B1,B2,B3,B4,B5,B6,B7,B8,U1,U2,U3,U4,U5,U6,U7,U8,F1,F2,F3,F4,F5
Hadersle,2043,44,128,88,29,12,2592,4935,5537,267,138,99,442,116,24,6623,216,53,64,16,317
Kolding,2113,41,242,58,12,15,3858,6339,3813,213,82,112,223,27,16,4485,203,31,174,28,379
Sønderb,2806,57,265,88,31,18,2851,6115,4067,353,76,122,336,84,37,5074,344,64,192,10,589
Tønder,2307,52,166,68,35,42,3406,6078,3098,155,61,64,226,88,57,3749,247,53,134,17,417
Varde,2134,82,325,269,42,31,2467,5351,3866,339,132,107,569,82,41,5137,284,68,140,21,471
Vejen,3775,77,369,136,47,31,3496,7930,3432,207,71,70,214,57,15,4067,250,42,544,16,820
Vejle,4078,95,629,171,38,28,3159,8197,4838,267,174,431,685,99,40,6534,313,60,125,124,374
Aabenraa,2725,78,275,78,18,16,4145,7334,3450,288,108,109,284,70,20,4330,260,54,163,20,457
Favrskov,2069,84,88,177,37,21,2422,4898,4969,245,142,70,682,84,35,6227,218,96,51,15,349
Hedenste,2166,67,128,59,18,14,1834,4287,2965,258,96,68,173,32,31,3624,185,41,97,8,314
Horsens,1873,66,288,93,22,18,2452,4812,3444,254,110,132,345,62,26,4372,242,51,182,41,434
Norddjur,2571,93,254,162,34,14,3147,6276,4039,337,126,142,640,85,13,5382,249,37,97,16,366
Odder,2277,77,116,119,30,13,5164,7796,5708,516,159,201,761,82,20,7447,200,54,95,21,329
Randers,1912,54,136,69,21,15,2305,4511,4082,354,111,119,453,86,29,5234,303,62,85,36,414
Samsø,14245,39,140,94,35,199,29687,44440,5353,316,14,32,64,2,12,5790,312,74,83,5,463
Silkebor,1649,49,250,89,23,10,2586,4655,4856,242,134,144,376,84,16,5852,273,68,101,21,421
Skanderb,2272,70,169,90,24,9,1244,3879,4280,220,135,106,384,64,11,5201,225,60,73,14,343
Syddjurs,1850,40,121,68,18,10,2738,4844,3749,174,57,62,199,31,11,4284,241,66,290,14,583
Aarhus,1747,38,168,84,14,7,705,2764,4230,162,88,202,335,32,11,5059,305,37,278,444,175
Herning,3492,102,504,152,39,23,2856,7169,5523,239,219,393,665,124,26,7188,329,50,287,238,428
Holstebr,2868,76,401,72,26,38,4090,7570,4786,177,108,210,205,70,69,5625,268,56,118,23,419
IkastBra,3524,80,143,62,21,22,1922,5774,4298,222,84,56,154,54,25,4892,209,41,87,23,315
Lemvig,3034,96,265,106,35,48,6053,9637,4175,342,162,181,373,108,42,5383,280,0,195,14,462
Ringkøb,3121,51,236,103,32,24,1382,4948,4076,278,88,111,320,81,33,4987,217,51,91,20,338
Skive,2094,49,299,64,19,14,2325,4864,3898,219,99,181,218,79,22,4716,252,53,82,16,370
Struer,3836,69,285,70,36,75,5617,9986,4604,228,104,99,178,65,20,5298,247,0,186,12,421
Viborg,3322,50,361,89,14,114,2913,6863,5267,235,96,161,347,40,20,6166,275,55,118,36,413
Brønder,3090,74,173,132,28,14,5321,8831,4414,401,88,82,275,55,10,5324,285,0,193,26,452
Frederik,2335,53,194,62,15,17,3437,6112,3425,258,81,82,140,33,10,4030,232,36,195,23,441
Hjørrin,1919,55,130,104,27,10,1254,3498,3695,253,88,103,387,65,11,4602,257,58,287,15,587
Jammerbu,2645,42,165,62,14,13,2005,4946,3910,372,64,57,198,40,25,4666,211,33,93,6,331
Læsø,17713,14,284,96,32,109,34573,52821,1459,32,0,3,0,1,2,1496,184,16,130,3,327
Mariager,2437,90,304,210,57,18,1833,4948,4566,322,109,138,728,139,20,6022,273,0,162,15,420
Morsø,2925,107,220,60,26,23,3779,7140,4286,218,138,108,447,58,14,5270,239,54,117,21,388
Rebild,2047,66,151,136,29,13,3217,5659,3471,291,81,42,358,99,27,4368,196,0,159,10,345
Thisted,1944,76,143,123,24,12,1802,4123,2705,141,75,34,255,61,10,3279,270,52,117,17,422
Vesthimm,1730,55,156,159,48,12,2077,4237,2991,251,72,80,601,185,29,4210,218,54,94,8,358
Aalborg,1800,61,195,96,23,12,1495,3681,4003,312,119,149,517,103,28,5230,295,67,108,65,404
