LA,B1,B2,B3,B4,B5,B6,B7,B8,U1,U2,U3,U4,U5,U6,U7,U8,F1,F2,F3,F4,F5
Københa,1416,23,77,27,9,7,411,1968,3659,102,52,103,163,27,16,4122,211,34,138,32,351
Frederik,1963,39,446,83,15,21,2303,4870,4062,93,61,297,300,38,107,4958,381,61,144,33,553
Dragør,3731,74,293,158,59,21,8623,12959,3919,200,60,55,309,53,11,4607,507,56,214,20,757
Tårnby,2757,104,471,141,44,19,5432,8968,5055,251,212,254,582,115,16,6486,535,90,155,19,760
Albertsl,3381,101,524,121,42,65,5094,9328,4536,189,119,447,359,103,55,5809,615,51,194,51,809
Ballerup,2623,147,296,193,59,28,2951,6297,5222,249,235,136,594,128,75,6638,453,102,190,68,677
Brøndby,2217,69,159,155,33,11,4136,6780,3130,198,89,53,326,45,12,3853,300,71,59,4,426
Gentofte,5182,188,365,285,40,27,4805,10890,7667,369,323,350,1228,77,33,10046,474,89,285,266,581
Gladsaxe,2218,57,467,130,35,25,3271,6202,5054,202,94,372,505,87,62,6376,547,72,197,25,791
Glostrup,3812,99,299,115,36,19,10569,14949,4409,211,91,185,232,60,20,5208,383,59,118,18,542
Herlev,3309,53,801,122,34,32,12373,16723,4421,179,101,266,275,74,27,5344,407,89,211,19,688
Hvidovre,2430,67,534,102,24,28,2558,5743,5504,220,142,243,581,101,54,6845,445,68,100,16,597
HøjeTaa,1796,45,196,68,16,20,3163,5304,3588,199,98,99,205,41,31,4262,330,70,261,8,654
Ishøj,2092,79,226,208,55,21,5216,7897,3254,167,100,48,333,118,25,4045,384,82,108,27,547
LyngbyTa,3416,85,435,111,29,23,4108,8207,5413,157,124,255,359,55,22,6384,442,74,172,32,656
Rødovre,3117,101,509,111,39,32,3559,7469,4503,213,111,144,361,89,48,5468,354,82,102,17,520
Vallensb,2879,98,284,126,41,18,8078,11524,2567,126,67,53,213,59,15,3101,178,55,93,7,319
Allerød,3473,112,205,180,30,22,5206,9227,7872,348,164,110,600,58,30,9182,325,82,215,25,597
Egedal,2228,93,231,185,30,12,3210,5988,4251,196,168,77,522,73,16,5303,252,62,68,16,367
Fredensb,4089,74,479,115,25,27,6306,11114,4252,197,83,101,252,32,17,4933,381,70,158,15,593
Frederik,2472,84,133,102,23,28,5389,8231,4499,253,158,116,315,44,64,5449,288,80,98,20,446
Furesø,3452,71,217,73,25,23,5749,9610,6355,137,111,82,189,32,38,6944,276,54,100,18,413
Gribskov,3461,49,271,80,30,34,3122,7047,3648,137,61,52,209,32,17,4156,329,91,142,32,530
Halsnæs,2988,55,184,82,35,16,4990,8350,4364,304,125,105,379,88,14,5379,256,70,117,14,429
Helsing�,4002,97,643,193,39,27,3828,8830,5380,269,131,283,674,79,22,6836,593,85,152,46,783
Hillerø,2520,66,334,62,16,24,2921,5944,4347,184,91,154,259,44,49,5128,313,66,134,16,498
Hørshol,3647,60,497,131,33,61,6256,10685,6678,267,86,165,418,66,29,7709,290,69,197,33,524
Rudersda,2534,66,347,80,26,21,4352,7425,5885,312,100,188,294,61,40,6879,384,0,213,22,574
Bornholm,8114,60,361,183,47,51,3999,12816,3790,255,41,125,302,21,17,4552,237,71,121,19,411
